"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	121	79153531	0.2
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	204	79153531	0.3
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	316	11619054	2.7
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	875	102260320	0.9
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	496	102260320	0.5
	"Arkansas"	"05"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	163	48127139	0.3
	"Arkansas"	"05"	"Exposure to excessive natural cold (hypothermia)"	"X31"	151	48127139	0.3
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	730	618482047	0.1
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	751	618482047	0.1
	"Colorado"	"08"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	45	81979602	0.1
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	460	81979602	0.6
	"Connecticut"	"09"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	15	59851848	Unreliable
	"Connecticut"	"09"	"Exposure to excessive natural cold (hypothermia)"	"X31"	222	59851848	0.4
	"Delaware"	"10"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	17	14690493	Unreliable
	"Delaware"	"10"	"Exposure to excessive natural cold (hypothermia)"	"X31"	43	14690493	0.3
	"District of Columbia"	"11"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	15	10140487	Unreliable
	"District of Columbia"	"11"	"Exposure to excessive natural cold (hypothermia)"	"X31"	60	10140487	0.6
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	277	307658206	0.1
	"Florida"	"12"	"Exposure to excessive natural cold (hypothermia)"	"X31"	187	307658206	0.1
	"Georgia"	"13"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	164	156794347	0.1
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	327	156794347	0.2
	"Hawaii"	"15"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	18	22391828	Unreliable
	"Idaho"	"16"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	26	25125742	0.1
	"Idaho"	"16"	"Exposure to excessive natural cold (hypothermia)"	"X31"	187	25125742	0.7
	"Illinois"	"17"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	271	215629487	0.1
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	716	215629487	0.3
	"Indiana"	"18"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	97	108039336	0.1
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	436	108039336	0.4
	"Iowa"	"19"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	46	51106028	0.1
	"Iowa"	"19"	"Exposure to excessive natural cold (hypothermia)"	"X31"	240	51106028	0.5
	"Kansas"	"20"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	121	47492505	0.3
	"Kansas"	"20"	"Exposure to excessive natural cold (hypothermia)"	"X31"	124	47492505	0.3
	"Kentucky"	"21"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	99	72069687	0.1
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	336	72069687	0.5
	"Louisiana"	"22"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	170	76816288	0.2
	"Louisiana"	"22"	"Exposure to excessive natural cold (hypothermia)"	"X31"	133	76816288	0.2
	"Maine"	"23"	"Exposure to excessive natural cold (hypothermia)"	"X31"	154	22346589	0.7
	"Maryland"	"24"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	133	96095812	0.1
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	376	96095812	0.4
	"Massachusetts"	"25"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	30	110561604	0.0
