"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2007"	"2007"	16	4672840	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	15	4757938	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	15	4779736	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	11	4802740	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	13	4833722	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	19	4849377	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	15	4858979	Unreliable
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	18	666946	Unreliable
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	25	675302	3.7
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	21	680300	3.1
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	19	687455	Unreliable
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	26	698895	3.7
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	21	710231	3.0
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	31	722718	4.3
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	22	731449	3.0
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	14	735132	Unreliable
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	17	736732	Unreliable
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	28	738432	3.8
