"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Septicaemia, unspecified"	"A41.9"	71	4858979	1.5
	"Alabama"	"01"	"Anaemia, unspecified"	"D64.9"	14	4858979	Unreliable
	"Alabama"	"01"	"Coagulation defect, unspecified"	"D68.9"	11	4858979	Unreliable
	"Alabama"	"01"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	11	4858979	Unreliable
	"Alabama"	"01"	"Unspecified diabetes mellitus, without complications"	"E14.9"	14	4858979	Unreliable
	"Alabama"	"01"	"Hyperlipidaemia, unspecified"	"E78.5"	11	4858979	Unreliable
	"Alabama"	"01"	"Acidosis"	"E87.2"	12	4858979	Unreliable
	"Alabama"	"01"	"Unspecified dementia"	"F03"	31	4858979	0.6
	"Alabama"	"01"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	24	4858979	0.5
	"Alabama"	"01"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	11	4858979	Unreliable
	"Alabama"	"01"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	32	4858979	0.7
	"Alabama"	"01"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	16	4858979	Unreliable
	"Alabama"	"01"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	30	4858979	0.6
	"Alabama"	"01"	"Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder"	"F13.9"	10	4858979	Unreliable
	"Alabama"	"01"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	14	4858979	Unreliable
	"Alabama"	"01"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	105	4858979	2.2
	"Alabama"	"01"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	22	4858979	0.5
	"Alabama"	"01"	"Depressive episode, unspecified"	"F32.9"	42	4858979	0.9
	"Alabama"	"01"	"Parkinson's disease"	"G20"	10	4858979	Unreliable
	"Alabama"	"01"	"Alzheimer's disease, unspecified"	"G30.9"	15	4858979	Unreliable
	"Alabama"	"01"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	46	4858979	0.9
	"Alabama"	"01"	"Encephalopathy, unspecified"	"G93.4"	13	4858979	Unreliable
	"Alabama"	"01"	"Essential (primary) hypertension"	"I10"	68	4858979	1.4
	"Alabama"	"01"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	17	4858979	Unreliable
	"Alabama"	"01"	"Acute myocardial infarction, unspecified"	"I21.9"	21	4858979	0.4
	"Alabama"	"01"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	11	4858979	Unreliable
	"Alabama"	"01"	"Atherosclerotic heart disease"	"I25.1"	54	4858979	1.1
	"Alabama"	"01"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	21	4858979	0.4
	"Alabama"	"01"	"Cardiac arrest, unspecified"	"I46.9"	210	4858979	4.3
	"Alabama"	"01"	"Atrial fibrillation and flutter"	"I48"	49	4858979	1.0
	"Alabama"	"01"	"Cardiac arrhythmia, unspecified"	"I49.9"	20	4858979	0.4
	"Alabama"	"01"	"Congestive heart failure"	"I50.0"	33	4858979	0.7
	"Alabama"	"01"	"Heart failure, unspecified"	"I50.9"	13	4858979	Unreliable
	"Alabama"	"01"	"Heart disease, unspecified"	"I51.9"	12	4858979	Unreliable
	"Alabama"	"01"	"Stroke, not specified as haemorrhage or infarction"	"I64"	29	4858979	0.6
	"Alabama"	"01"	"Hypotension, unspecified"	"I95.9"	10	4858979	Unreliable
	"Alabama"	"01"	"Pneumonia, unspecified"	"J18.9"	58	4858979	1.2
	"Alabama"	"01"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	39	4858979	0.8
	"Alabama"	"01"	"Pneumonitis due to food and vomit"	"J69.0"	20	4858979	0.4
	"Alabama"	"01"	"Adult respiratory distress syndrome"	"J80"	15	4858979	Unreliable
	"Alabama"	"01"	"Acute respiratory failure"	"J96.0"	45	4858979	0.9
	"Alabama"	"01"	"Respiratory failure, unspecified"	"J96.9"	86	4858979	1.8
	"Alabama"	"01"	"Other and unspecified cirrhosis of liver"	"K74.6"	12	4858979	Unreliable
	"Alabama"	"01"	"Acute renal failure, unspecified"	"N17.9"	15	4858979	Unreliable
	"Alabama"	"01"	"Chronic renal failure, unspecified"	"N18.9"	13	4858979	Unreliable
	"Alabama"	"01"	"Unspecified renal failure"	"N19"	22	4858979	0.5
	"Alabama"	"01"	"Other specified disorders of kidney and ureter"	"N28.8"	14	4858979	Unreliable
	"Alabama"	"01"	"Urinary tract infection, site not specified"	"N39.0"	15	4858979	Unreliable
	"Alabama"	"01"	"Asphyxia"	"R09.0"	12	4858979	Unreliable
	"Alabama"	"01"	"Respiratory arrest"	"R09.2"	41	4858979	0.8
	"Alabama"	"01"	"Malaise and fatigue"	"R53"	14	4858979	Unreliable
	"Alabama"	"01"	"Senility"	"R54"	11	4858979	Unreliable
	"Alabama"	"01"	"Other and unspecified convulsions"	"R56.8"	26	4858979	0.5
	"Alabama"	"01"	"Other specified general symptoms and signs"	"R68.8"	37	4858979	0.8
	"Alabama"	"01"	"Open wound of lip and oral cavity"	"S01.5"	20	4858979	0.4
	"Alabama"	"01"	"Multiple open wounds of head"	"S01.7"	10	4858979	Unreliable
