state,date.based,protection.dates,start,end,summer,temp.based,low.temp,high.temp,heat.advisory,freezing,ill,elderly,children,disabled,hardship,Seasonal Policy
Alabama,no,,,,,yes,32,,,,,,,,,
Alaska,no,,,,,no,,,,,x,,,x,,"No disconnect for seriously ill, disabled."
Arizona,no,,,,,yes,32,,,,,,,,,Several of Arizona's energy vendors enforce moratoriums with varying criteria.
Arkansas,yes,11/1-3/31,1-Nov,31-Mar,,yes,32,95,,,x,x,,,,No disconnect for elderly or disabled or medical emergency
California,no,,,,,no,,,,,,,,,,
Colorado,no,,,,,no,,,,,,,,,,
Connecticut,yes,11/1 - 5/1,1-Nov,1-May,,no,,,,,,,,,x,No disconnect for hardship customers.
Delaware,yes,11/15 - 4/15,15-Nov,15-Apr,,yes,20,,,,,,,,,
District of Columbia,no,,,,,yes,32,,,,,,,,,
Florida,no,,,,,no,,,,,,,,,,
Georgia,yes,11/15 - 3/15 and summer months,15-Nov,15-Mar,yes,yes,32,,,,x,,,,,No disconnect if illness would be aggravated.
Hawaii,no,,,,,no,,,,,,,,,,
Idaho,yes,12/1 - 2/28,1-Dec,28-Feb,,no,,,,,,x,x,,,"Disconnect ban for households with children under 18, elderly age 62 or older, or infirm."
Illinois,yes,12/1 - 3/31 and summer months,,,yes,yes,32,95,,,,,,,,
Indiana,yes,12/1 - 3/15,1-Dec,15-Mar,,no,,,,,,,,,x,Prohibits disconnect if customer qualifies for public assistance.
Iowa,yes,11/1 - 4/1,1-Nov,1-Apr,,yes,20,,,,,,,,,
Kansas,yes,11/1 - 3/31,1-Nov,31-Mar,,yes,35,,,,,,,,,
Kentucky,no,,,,,no,,,,,,,,,,
Louisiana,no,,,,,no,,,,,,,,,,
Maine,yes,11/15 - 4/15,15-Nov,15-Apr,,no,,,,,,,,,x,Must agree to special payment arrangement
Maryland,yes,11/1 - 3/31,1-Nov,31-Mar,,no,32,95,,,,,,,,
Massachusetts,yes,11/15-4/30(electric)11/15-4/30 (gas),15-Nov,30-Apr,,no,,,,,x,x,x,,x,"Disconnect not permitted ifhousehold includes child <12 months, seriously ill member or all residents are 65 or older. If the elderly household is low-income and includes a minor, the protection against termination will apply."
Michigan,yes,11/1 - 3/31,1-Nov,31-Mar,,no,,,,,x,x,,,x,"Winter Protection Plan for elderly 65 years or older, recipients of Medicaid, Food Stamps or state emergency relief, full- time active military personnel or persons needing critical care or having a certified medical emergency. Households with income less than 150% of federal poverty guidelines must be enrolled in a payment plan."
Minnesota,yes,10/15 - 4/15,15-Oct,15-Apr,,yes,,,x,,,,,,,"Disconnect ban for residential electricity service when an excessive heat watch, heat advisory, or excessive heat warning has been issued by the National Weather Service"
Mississippi,yes,12/1 - 3/31,1-Dec,31-Mar,,no,,,,,,,,,,
Missouri,yes,11/1 - 3/31 and 6/1 - 9/30,1-Nov,31-Mar,yes,yes,32,95,,,,,,,,
Montana,yes,11/1 - 4/1,1-Nov,1-Apr,,yes,32,,,x,,x,,x,,No disconnect when the temperature at 8 a.m. is below 32 F or if freezing temperatures are forcast for the next 24 hours for customers receiving public assistance or if household member is age 62 or older or disabled.
Nebraska,yes,11/1 - 3/31,1-Nov,31-Mar,,no,,,,,,,,,x,No disconnect for low-income natural gas customers with proof of eligibility for energy assistance.
Nevada,no,,,,,no,,,,,,,,,,
New Hampshire,yes,11/15 - 3/31,15-Nov,31-Mar,,no,,,,,,,,,,
New Jersey,yes,11/15 - 3/15,15-Nov,3/315,,yes,,95,,,,,,,x,"Disconnect ban for customers receiving Lifeline, LIHEAP, TANF, SSI, PAAD or GA or households unable to pay overdue amounts due to unemployment, medical expenses, or recent death of spouse. If eligible for Winter Termination Program, can't disconnect if 90oÊF or above for following 48 hours."
New Mexico,yes,11/15 - 3/15,15-Nov,15-Mar,,no,,,,,,,,,,Must be current with payments or have entered into a payment agreement and are current with that aggreement by Nov. 15
New York,yes,2-week period encompassing Christmas and New Years,14-Dec,5-Jan,,no,,,,,,,,,,
North Carolina,yes,11/1 - 3/31,1-Nov,31-Mar,,no,,,,,,x,,x,x,"No disconnect for elderly, disabled, and customers who are eligible for the Energy Crisis Assistance Program."
North Dakota,no,,,,,no,,,,,,,,,,
Ohio,yes,10/17 - 4/13,17-Oct,13-Apr,,no,,,,,x,,,,,Medical certification program.
