"","keyword","station","count","ID","total","Location","Date","loc_id"
"1","ALJAZAM","Aljazeera America",5,1,7,"MELBOURNE, AUSTRALIA","September, 2014","MELBOURNE, AUSTRALIA (September, 2014)"
"2","CNN","CNN",2,1,7,"MELBOURNE, AUSTRALIA","September, 2014","MELBOURNE, AUSTRALIA (September, 2014)"
"3","ALJAZAM","Aljazeera America",5,2,15,"TIZI OUZOU, ALGERIA","September, 2014","TIZI OUZOU, ALGERIA (September, 2014)"
"4","CNN","CNN",5,2,15,"TIZI OUZOU, ALGERIA","September, 2014","TIZI OUZOU, ALGERIA (September, 2014)"
"5","MSNBC","MSNBC",5,2,15,"TIZI OUZOU, ALGERIA","September, 2014","TIZI OUZOU, ALGERIA (September, 2014)"
"6","ALJAZAM","Aljazeera America",10,3,62,"QUEBEC, CANADA","October, 2014","QUEBEC, CANADA (October, 2014)"
"7","CNN","CNN",18,3,62,"QUEBEC, CANADA","October, 2014","QUEBEC, CANADA (October, 2014)"
"8","FBC","FOX Business",3,3,62,"QUEBEC, CANADA","October, 2014","QUEBEC, CANADA (October, 2014)"
"9","FOXNEWSW","FOX News",16,3,62,"QUEBEC, CANADA","October, 2014","QUEBEC, CANADA (October, 2014)"
"10","MSNBC","MSNBC",15,3,62,"QUEBEC, CANADA","October, 2014","QUEBEC, CANADA (October, 2014)"
"11","ALJAZAM","Aljazeera America",74,4,464,"OTTAWA, CANADA","October, 2014","OTTAWA, CANADA (October, 2014)"
"12","BLOOMBERG","Bloomberg",9,4,464,"OTTAWA, CANADA","October, 2014","OTTAWA, CANADA (October, 2014)"
"13","CNBC","CNBC",6,4,464,"OTTAWA, CANADA","October, 2014","OTTAWA, CANADA (October, 2014)"
"14","CNN","CNN",179,4,464,"OTTAWA, CANADA","October, 2014","OTTAWA, CANADA (October, 2014)"
"15","FBC","FOX Business",32,4,464,"OTTAWA, CANADA","October, 2014","OTTAWA, CANADA (October, 2014)"
"16","FOXNEWSW","FOX News",80,4,464,"OTTAWA, CANADA","October, 2014","OTTAWA, CANADA (October, 2014)"
"17","MSNBC","MSNBC",84,4,464,"OTTAWA, CANADA","October, 2014","OTTAWA, CANADA (October, 2014)"
"18","ALJAZAM","Aljazeera America",14,5,265,"NEW YORK CITY, NY, USA","October, 2014","NEW YORK CITY, NY, USA (October, 2014)"
"19","CNBC","CNBC",3,5,265,"NEW YORK CITY, NY, USA","October, 2014","NEW YORK CITY, NY, USA (October, 2014)"
"20","CNN","CNN",106,5,265,"NEW YORK CITY, NY, USA","October, 2014","NEW YORK CITY, NY, USA (October, 2014)"
"21","FBC","FOX Business",7,5,265,"NEW YORK CITY, NY, USA","October, 2014","NEW YORK CITY, NY, USA (October, 2014)"
"22","FOXNEWSW","FOX News",102,5,265,"NEW YORK CITY, NY, USA","October, 2014","NEW YORK CITY, NY, USA (October, 2014)"
"23","MSNBC","MSNBC",33,5,265,"NEW YORK CITY, NY, USA","October, 2014","NEW YORK CITY, NY, USA (October, 2014)"
"24","ALJAZAM","Aljazeera America",4,6,16,"RIYADH, SAUDI ARABIA","November, 2014","RIYADH, SAUDI ARABIA (November, 2014)"
"25","BLOOMBERG","Bloomberg",2,6,16,"RIYADH, SAUDI ARABIA","November, 2014","RIYADH, SAUDI ARABIA (November, 2014)"
"26","CNBC","CNBC",2,6,16,"RIYADH, SAUDI ARABIA","November, 2014","RIYADH, SAUDI ARABIA (November, 2014)"
"27","CNN","CNN",3,6,16,"RIYADH, SAUDI ARABIA","November, 2014","RIYADH, SAUDI ARABIA (November, 2014)"
"28","FOXNEWSW","FOX News",5,6,16,"RIYADH, SAUDI ARABIA","November, 2014","RIYADH, SAUDI ARABIA (November, 2014)"
"29","ALJAZAM","Aljazeera America",4,7,42,"ABU DHABI, UAE","December, 2014","ABU DHABI, UAE (December, 2014)"
"30","BLOOMBERG","Bloomberg",1,7,42,"ABU DHABI, UAE","December, 2014","ABU DHABI, UAE (December, 2014)"
"31","CNN","CNN",13,7,42,"ABU DHABI, UAE","December, 2014","ABU DHABI, UAE (December, 2014)"
"32","FOXNEWSW","FOX News",7,7,42,"ABU DHABI, UAE","December, 2014","ABU DHABI, UAE (December, 2014)"
"33","MSNBC","MSNBC",17,7,42,"ABU DHABI, UAE","December, 2014","ABU DHABI, UAE (December, 2014)"
"34","ALJAZAM","Aljazeera America",71,8,325,"SYDNEY, AUSTRALIA","December, 2014","SYDNEY, AUSTRALIA (December, 2014)"
"35","BLOOMBERG","Bloomberg",10,8,325,"SYDNEY, AUSTRALIA","December, 2014","SYDNEY, AUSTRALIA (December, 2014)"
"36","CNBC","CNBC",6,8,325,"SYDNEY, AUSTRALIA","December, 2014","SYDNEY, AUSTRALIA (December, 2014)"
"37","CNN","CNN",155,8,325,"SYDNEY, AUSTRALIA","December, 2014","SYDNEY, AUSTRALIA (December, 2014)"
"38","FBC","FOX Business",9,8,325,"SYDNEY, AUSTRALIA","December, 2014","SYDNEY, AUSTRALIA (December, 2014)"
"39","FOXNEWSW","FOX News",50,8,325,"SYDNEY, AUSTRALIA","December, 2014","SYDNEY, AUSTRALIA (December, 2014)"
"40","MSNBC","MSNBC",24,8,325,"SYDNEY, AUSTRALIA","December, 2014","SYDNEY, AUSTRALIA (December, 2014)"
"41","CNN","CNN",4,9,7,"TOURS, FRANCE","December, 2014","TOURS, FRANCE (December, 2014)"
"42","FOXNEWSW","FOX News",1,9,7,"TOURS, FRANCE","December, 2014","TOURS, FRANCE (December, 2014)"
"43","MSNBC","MSNBC",2,9,7,"TOURS, FRANCE","December, 2014","TOURS, FRANCE (December, 2014)"
"44","ALJAZAM","Aljazeera America",1047,10,5167,"PARIS, FRANCE","January, 2015","PARIS, FRANCE (January, 2015)"
"45","BLOOMBERG","Bloomberg",272,10,5167,"PARIS, FRANCE","January, 2015","PARIS, FRANCE (January, 2015)"
"46","CNBC","CNBC",170,10,5167,"PARIS, FRANCE","January, 2015","PARIS, FRANCE (January, 2015)"
"47","CNN","CNN",1805,10,5167,"PARIS, FRANCE","January, 2015","PARIS, FRANCE (January, 2015)"
"48","FBC","FOX Business",145,10,5167,"PARIS, FRANCE","January, 2015","PARIS, FRANCE (January, 2015)"
"49","FOXNEWSW","FOX News",626,10,5167,"PARIS, FRANCE","January, 2015","PARIS, FRANCE (January, 2015)"
"50","MSNBC","MSNBC",1102,10,5167,"PARIS, FRANCE","January, 2015","PARIS, FRANCE (January, 2015)"
"51","ALJAZAM","Aljazeera America",61,11,146,"TRIPOLI, LIBYA","January, 2015","TRIPOLI, LIBYA (January, 2015)"
"52","BLOOMBERG","Bloomberg",2,11,146,"TRIPOLI, LIBYA","January, 2015","TRIPOLI, LIBYA (January, 2015)"
"53","CNN","CNN",62,11,146,"TRIPOLI, LIBYA","January, 2015","TRIPOLI, LIBYA (January, 2015)"
"54","FBC","FOX Business",2,11,146,"TRIPOLI, LIBYA","January, 2015","TRIPOLI, LIBYA (January, 2015)"
"55","FOXNEWSW","FOX News",18,11,146,"TRIPOLI, LIBYA","January, 2015","TRIPOLI, LIBYA (January, 2015)"
"56","MSNBC","MSNBC",1,11,146,"TRIPOLI, LIBYA","January, 2015","TRIPOLI, LIBYA (January, 2015)"
"57","ALJAZAM","Aljazeera America",5,12,10,"RIYADH, SAUDI ARABIA","January, 2015","RIYADH, SAUDI ARABIA (January, 2015)"
